date,avg_temp
8/1/2011,22.13
9/1/2011,19.301
10/1/2011,12.001
11/1/2011,8.013
12/1/2011,2.987
1/1/2012,-0.041
2/1/2012,2.185
3/1/2012,8.734
4/1/2012,10.324
5/1/2012,17.779
6/1/2012,20.165
7/1/2012,24.479
8/1/2012,22.731
9/1/2012,18.177
10/1/2012,12.436
11/1/2012,4.103
12/1/2012,2.586
1/1/2013,-0.968
2/1/2013,-1.365
3/1/2013,2.518
4/1/2013,9.723
5/1/2013,15.544
6/1/2013,20.892
7/1/2013,24.722
8/1/2013,21.001
9/1/2013,17.408
